38703;DEFERIDO;204,82;14;;
39134;DEFERIDO;93,46;14;;
39287;DEFERIDO;204,82;14;;
40332;DEFERIDO;204,82;14;;
40334;DEFERIDO;204,82;14;;
40703;DEFERIDO;234,08;16;;
41459;DEFERIDO;204,82;14;;
41638;DEFERIDO;202,3;14;;
41804;DEFERIDO;148,26;14;;
42145;DEFERIDO;139,91;14;;
42694;DEFERIDO;31,77;3;;
42830;DEFERIDO;148,26;14;;
43408;DEFERIDO;93,46;16;;
45566;DEFERIDO;93,46;15;;
45969;DEFERIDO;74,13;7;;
46462;DEFERIDO;52,95;5;;
47662;DEFERIDO;84,72;8;;
48524;DEFERIDO;148,26;14;;
48994;DEFERIDO;82,32;7;;
50994;DEFERIDO;74,13;7;;
51570;DEFERIDO;148,26;14;;
51629;DEFERIDO;169,44;16;;
51632;DEFERIDO;148,26;14;;
51818;DEFERIDO;197,4;14;;
52229;DEFERIDO;120,05;14;;
52262;DEFERIDO;93,46;14;;
53409;DEFERIDO;234,08;16;;
53705;DEFERIDO;169,44;16;;
53765;DEFERIDO;148,26;14;;
53806;DEFERIDO;234,08;16;;
53816;DEFERIDO;155,68;14;;
54029;DEFERIDO;182;16;;
55488;DEFERIDO;204,82;14;;
55678;DEFERIDO;93,46;14;;
56027;DEFERIDO;210,84;14;;
56049;DEFERIDO;169,44;16;;
56342;DEFERIDO;116,49;11;;
56438;DEFERIDO;204,82;14;;
56523;DEFERIDO;313,74;14;;
56700;DEFERIDO;204,82;14;;
58903;DEFERIDO;97,25;5;;
59037;DEFERIDO;204,82;14;;
59210;DEFERIDO;144,55;14;;
59465;DEFERIDO;204,82;14;;
59592;DEFERIDO;42,36;4;;
59595;INDEFERIDO;;;3,8,9;
60300;DEFERIDO;204,82;14;;
60726;DEFERIDO;204,82;14;;
60797;DEFERIDO;169,44;16;;
60892;DEFERIDO;148,26;14;;
61755;DEFERIDO;186,73;14;;
62136;DEFERIDO;21,18;2;;
63462;DEFERIDO;204,82;14;;
63497;DEFERIDO;160,58;14;;
63502;DEFERIDO;204,82;14;;
63687;DEFERIDO;101,12;8;;
63957;DEFERIDO;204,82;14;;
64813;DEFERIDO;155,68;14;;
65431;DEFERIDO;169,44;16;;
66201;DEFERIDO;169,44;16;;
67405;DEFERIDO;148,26;14;;
69100;DEFERIDO;95,31;9;;
75890;DEFERIDO;234,08;16;;
79155;DEFERIDO;225,54;14;;
79189;DEFERIDO;151,9;14;;
80895;DEFERIDO;31,77;3;;
85012;DEFERIDO;123,57;9;;
93114;DEFERIDO;52,95;5;;
93948;DEFERIDO;155,68;14;;
94413;DEFERIDO;204,82;14;;
94839;DEFERIDO;77,35;7;;
97117;DEFERIDO;148,26;14;;
97598;DEFERIDO;83,35;5;;
98117;DEFERIDO;43,92;3;;
98430;DEFERIDO;169,44;16;;
100443;DEFERIDO;148,26;14;;
102995;DEFERIDO;258,44;14;;
106476;DEFERIDO;169,44;16;;
106553;DEFERIDO;93,46;14;;
108951;DEFERIDO;148,26;14;;
109460;INDEFERIDO;;;11,3;
114176;DEFERIDO;130,2;12;;
114699;DEFERIDO;148,26;14;;
115108;DEFERIDO;21,18;2;;
115140;DEFERIDO;93,46;16;;
115242;DEFERIDO;169,44;16;;
116360;DEFERIDO;169,44;16;;
119626;DEFERIDO;52,95;5;;
122988;DEFERIDO;148,26;14;;
124840;DEFERIDO;23,12;2;;
126752;DEFERIDO;52,95;5;;
127614;DEFERIDO;148,26;14;;
127724;DEFERIDO;234,08;16;;
128803;DEFERIDO;21,18;2;;
128832;DEFERIDO;148,26;14;;
130511;DEFERIDO;74,13;7;;
135590;DEFERIDO;127,08;12;;
137199;DEFERIDO;94,64;7;;
139866;DEFERIDO;148,26;14;;
140518;DEFERIDO;93,46;14;;
141344;DEFERIDO;204,82;14;;
142790;DEFERIDO;144,98;11;;
142911;DEFERIDO;93,46;14;;
145446;DEFERIDO;54,8;5;;
145863;INDEFERIDO;;;3,8,9;
146156;DEFERIDO;93,46;14;;
146961;DEFERIDO;298,2;14;;
147493;DEFERIDO;102,41;7;;
148660;DEFERIDO;137,67;13;;
152725;DEFERIDO;93,85;5;;
152942;DEFERIDO;148,26;14;;
157745;DEFERIDO;148,26;14;;
158737;DEFERIDO;21,18;2;;
159255;DEFERIDO;148,26;14;;
159470;DEFERIDO;148,26;14;;
159683;DEFERIDO;52,95;5;;
159946;DEFERIDO;74,13;7;;
160032;DEFERIDO;148,26;14;;
161628;DEFERIDO;155,54;14;;
163992;DEFERIDO;74,13;7;;
164670;DEFERIDO;70,1;5;;
165086;DEFERIDO;285,18;14;;
166633;DEFERIDO;169,44;16;;
168147;DEFERIDO;74,13;7;;
171059;DEFERIDO;181,91;14;;
176743;DEFERIDO;179,62;14;;
177125;DEFERIDO;204,82;14;;
177278;DEFERIDO;204,82;14;;
180062;DEFERIDO;74,13;7;;
180586;DEFERIDO;169,44;16;;
180843;DEFERIDO;140;14;;
185698;DEFERIDO;204,82;14;;
186823;DEFERIDO;93,46;14;;
188644;DEFERIDO;148,26;14;;



